aX,aY,aZ,gX,gY,gZ
-1.414,0.581,-0.064,-41.290,-105.535,69.283
-1.486,0.639,-0.263,-121.824,-283.901,126.825
-1.131,0.648,-0.250,-133.733,-273.016,21.115
-0.789,0.531,0.044,-137.153,-304.787,43.405
-0.580,0.229,0.273,-125.992,-169.336,14.794
-0.444,0.172,0.540,-123.595,-132.054,6.840
-0.520,-0.052,0.590,-120.710,-121.916,54.092
-0.411,-0.131,0.635,-118.939,-139.642,88.489
-0.364,-0.193,0.667,-118.435,-109.565,102.092
-0.359,-0.189,0.644,-107.427,-58.496,70.245
-0.289,-0.299,0.677,-116.710,-76.649,78.764
-0.130,-0.288,0.634,-99.458,-36.771,51.359
-0.124,-0.201,0.752,-104.695,-20.176,42.046
-0.044,-0.342,0.606,-102.450,-11.748,33.970
-0.022,-0.269,0.626,-120.130,14.542,-15.969
-0.202,-0.396,0.536,-155.992,28.801,-22.229
-1.041,-1.257,-0.062,-160.313,-57.993,24.596
-0.852,-1.819,-0.435,-79.687,-30.191,-90.534
0.104,-0.865,0.420,93.473,0.450,-165.633
0.401,-0.617,0.856,75.290,-84.206,-19.664
0.507,-0.623,0.765,26.771,-15.428,15.603
0.044,-0.701,0.693,5.061,48.725,9.893

-0.924,0.556,-1.076,48.573,148.694,10.840
-1.055,0.535,-1.101,56.359,144.969,10.855
-1.194,0.680,-1.010,98.237,104.206,-9.267
-1.283,0.880,-0.103,53.840,-12.710,1.115
-0.833,0.735,-0.144,-3.717,-35.550,39.481
-1.018,0.038,-0.750,-45.366,-24.588,-9.633
-0.807,0.040,-0.693,-5.458,30.282,-22.458
-1.227,0.100,-0.474,-17.916,-51.794,26.397
-0.974,0.069,-0.506,-20.603,-58.832,-0.030
-0.996,0.088,-0.357,-35.824,-87.565,22.092
-1.102,0.222,-0.257,-33.458,-56.390,-6.901
-1.309,0.395,-0.096,-77.855,-169.138,37.603
-1.124,0.449,-0.156,-93.427,-147.962,-11.328
-0.928,0.453,-0.020,-112.832,-218.145,19.374
-0.930,0.518,0.051,-120.725,-170.680,20.809
-0.864,0.237,0.232,-136.130,-186.222,22.535
-0.736,0.277,0.344,-133.779,-142.084,31.099
-0.572,0.133,0.483,-141.473,-128.527,40.519
-0.647,-0.068,0.447,-146.832,-108.771,49.161
-0.574,-0.205,0.475,-131.641,-96.496,46.229
-0.663,-0.149,0.594,-144.313,-103.626,48.596
-0.365,-0.344,0.476,-130.175,-106.206,45.924
-0.452,-0.282,0.532,-154.023,-86.222,24.290
-0.275,-0.330,0.403,-156.206,-85.168,32.336
-0.302,-0.283,0.432,-196.893,-104.466,19.496
-0.137,-0.517,0.245,-184.175,-86.466,6.077
0.015,-0.594,0.266,-300.588,44.923,-86.580
-1.722,-2.000,-1.227,-110.450,136.328,-137.862
0.004,-1.282,-0.410,31.076,-130.939,-171.450
0.897,-1.057,0.267,115.229,-49.901,-39.343

-0.993,0.209,-1.295,34.069,93.671,24.779
