aX,aY,aZ,gX,gY,gZ
-0.628,0.631,-0.474,-162.421,267.132,447.983
-1.816,0.438,-0.754,-158.802,83.499,410.319
-2.000,-0.295,-0.945,-106.436,-47.952,246.228
-2.000,-0.446,-0.547,17.305,-93.891,57.541
-1.366,-0.354,-0.166,-2.817,-120.166,-116.642
-0.655,-0.214,-0.077,20.908,-117.433,-229.253
-0.775,0.018,0.170,93.289,-158.425,-312.627
-0.378,0.271,-0.157,-80.359,-261.631,-288.719
-0.105,0.154,-0.201,-96.222,-326.730,-441.833
0.819,0.776,-1.042,-228.909,-251.784,-469.024
1.416,1.074,-0.650,-147.169,-135.555,-494.337
2.000,1.421,-0.276,-239.031,42.537,-280.948
1.813,1.056,-0.041,-29.291,33.346,-225.955
1.881,0.993,-0.261,-14.879,47.270,-36.444
1.444,0.555,0.006,-28.482,28.506,-9.299
1.110,0.670,-0.082,25.381,10.033,25.419
0.667,0.602,0.050,26.786,1.529,43.907
0.775,0.398,-0.017,23.060,-11.677,40.060
0.732,0.385,-0.055,19.335,3.896,12.961
0.948,0.446,-0.103,11.564,-12.639,-24.581
1.094,0.527,-0.180,-3.443,-4.166,-3.497
1.029,0.525,-0.137,4.770,5.804,6.594
0.840,0.487,-0.060,3.488,8.918,16.945

2.000,0.492,-0.171,-12.543,-32.486,110.045
2.000,0.440,-0.314,-27.962,-4.028,128.518
2.000,0.325,-0.294,-21.108,150.628,155.220
1.229,-0.406,0.419,25.366,121.193,206.457
0.149,-0.440,-0.076,-46.512,237.880,265.877
-1.700,-1.204,0.678,16.328,51.590,178.045
-0.804,-0.996,0.325,28.175,-39.143,48.228
0.163,-0.660,0.288,7.610,-4.822,-20.688
0.966,-0.571,0.440,72.633,34.796,4.289
0.765,-0.660,0.502,90.923,46.552,81.083
0.521,-0.699,0.529,20.618,38.613,85.785
0.370,-0.595,0.464,-9.489,56.262,121.098
0.042,-0.635,0.493,-11.459,60.048,115.358
-0.256,-0.639,0.566,15.152,81.407,117.785
-0.407,-0.589,0.430,5.198,78.277,97.358
-0.652,-0.638,0.549,0.297,81.575,58.701
-0.738,-0.615,0.538,-9.489,40.583,38.670
-0.744,-0.691,0.557,-1.367,15.621,20.579
-0.748,-0.662,0.469,-22.558,-19.020,-12.520
-0.615,-0.749,0.440,0.205,-7.967,-10.856
-0.553,-0.693,0.437,-1.230,-19.341,-30.261
-0.438,-0.691,0.423,2.053,-15.417,-37.559
-0.406,-0.661,0.526,-0.543,-24.883,-50.490
-0.309,-0.663,0.456,-6.619,-37.662,-40.444
-0.313,-0.681,0.528,-6.283,-37.204,-49.971
-0.327,-0.681,0.531,-15.764,-54.120,-59.681
-0.412,-0.673,0.508,-21.367,-74.624,-87.910
-0.538,-0.547,0.485,-51.230,-97.616,-154.475
-0.679,-0.363,0.375,-74.527,-169.372,-244.948
-0.665,-0.057,0.193,-139.886,-217.433,-343.238

0.767,0.843,-1.376,-181.520,-323.295,-450.444
0.970,0.973,-1.533,-178.573,-285.417,-412.291
1.506,1.703,-1.334,-253.108,-7.891,-494.841
2.000,2.000,-0.533,-230.024,401.758,23.983
2.000,0.820,0.261,65.335,46.155,-73.406
1.429,0.817,-0.137,-23.245,-34.288,-65.024
1.546,0.116,-0.283,57.900,-131.936,213.235
1.290,0.099,-0.010,75.824,22.048,-34.444
0.841,0.343,-0.163,59.793,68.644,-120.184
0.778,0.490,-0.161,11.671,33.254,11.281
0.855,0.410,-0.099,-9.230,9.667,17.358
0.945,0.408,-0.168,-2.375,-3.082,8.976
0.967,0.420,-0.197,9.015,-0.654,5.037
1.000,0.398,-0.158,-3.184,-1.707,4.945
1.105,0.453,-0.193,7.778,-6.242,25.312
1.049,0.348,-0.158,3.335,9.178,26.136
1.012,0.333,-0.121,7.732,3.880,29.480
1.036,0.324,-0.110,4.144,-2.486,28.609
1.089,0.365,-0.173,0.419,2.705,35.205
1.012,0.247,-0.142,4.404,18.048,39.510
0.912,0.189,-0.086,3.335,18.262,27.312
0.908,0.198,-0.062,2.954,7.407,27.342
0.897,0.165,-0.073,-0.466,9.651,15.693
0.922,0.176,-0.079,-5.504,8.918,1.510
0.940,0.193,-0.094,1.854,4.995,4.243
0.945,0.169,-0.080,1.961,-0.761,-2.581
0.972,0.190,-0.070,2.267,-3.616,-0.337
1.010,0.198,-0.091,1.488,-6.135,-4.261
1.004,0.184,-0.115,-2.512,-0.211,-7.284
1.030,0.191,-0.116,7.656,-6.776,-0.688

0.476,1.576,-0.650,-38.650,-57.295,-223.986
0.744,1.541,-0.401,-28.222,-70.242,-107.345
1.293,1.505,-0.458,10.053,-15.601,-71.650
1.318,2.000,-0.352,-36.359,52.476,206.686
1.138,2.000,-0.273,-58.329,134.842,486.136
0.327,1.234,-0.132,-72.940,216.873,501.602
-0.848,0.119,-0.251,-139.550,184.170,501.602
-1.031,-0.633,-0.213,-6.207,156.415,396.869
-0.683,-0.602,-0.227,-35.611,61.667,312.930
-0.398,-0.833,-0.101,1.366,76.384,184.777
-0.305,-0.746,0.145,13.457,78.705,148.823
-0.660,-0.793,0.105,-2.253,17.483,92.335
-0.741,-0.887,0.015,-31.596,27.178,71.235
-0.843,-0.979,-0.019,-6.283,-33.066,43.174
-0.970,-0.895,-0.018,10.389,-57.173,-50.230
-0.957,-0.854,0.092,38.419,-108.608,-143.513
-0.807,-0.679,0.055,42.129,-110.700,-173.101
-0.721,-0.474,0.006,19.641,-117.433,-265.238
-0.708,-0.276,0.187,46.663,-176.944,-335.207
-0.540,-0.028,-0.019,-16.466,-261.448,-386.414
0.337,0.399,-0.420,-10.100,-211.372,-409.650
0.451,1.009,-0.667,44.267,-258.135,-497.375
2.000,1.734,-0.978,-118.573,29.773,-306.291
1.783,1.414,-0.533,-80.222,-18.868,-139.467
1.691,1.141,-0.473,-51.901,7.178,-130.612
1.181,0.783,-0.239,-10.375,16.827,-34.520
1.087,0.583,-0.174,8.343,17.896,13.449
0.904,0.496,-0.083,-8.191,12.598,-46.215
0.914,0.545,-0.148,7.549,8.552,-4.978
0.905,0.541,-0.202,-0.024,16.079,13.403

0.262,1.225,-0.328,-90.207,-64.333,-339.604
0.536,1.304,-0.127,-93.672,-30.761,-301.955
0.518,1.865,-0.138,-91.153,-11.784,-183.207
0.556,2.000,0.035,-6.314,-21.005,-31.360
0.384,2.000,-0.074,28.954,-15.982,207.281
0.760,1.965,-0.130,22.877,50.338,501.602
0.441,1.573,-0.147,53.030,83.361,501.602
0.663,1.151,-0.130,16.038,141.254,501.602
0.375,0.642,-0.156,-38.634,192.399,501.602
-0.066,0.057,-0.040,-41.489,85.941,500.533
-0.023,0.029,-0.081,-1.871,65.300,432.930
-0.800,-0.453,-0.045,-7.031,111.712,326.533
-0.961,-0.580,-0.055,10.007,52.842,209.892
-1.132,-0.705,0.086,0.282,20.796,110.548
-0.938,-0.819,0.060,25.274,-11.387,64.426
-0.578,-0.905,0.112,7.961,-15.814,-18.169
-0.278,-0.908,0.147,18.572,-23.906,4.732
-0.379,-0.874,0.289,7.305,-16.853,-16.704
-0.315,-0.794,0.305,1.809,-23.936,-1.879
-0.281,-0.840,0.281,3.167,-19.555,1.358
-0.388,-0.834,0.226,-3.153,0.918,-13.726
-0.590,-0.716,0.275,6.663,-31.555,0.396
-0.497,-0.824,0.240,9.961,-36.395,-25.574
-0.569,-0.723,0.331,-7.352,-32.807,-82.826
-0.608,-0.642,0.264,-11.062,-35.692,-117.726
-0.507,-0.586,0.162,1.503,-34.700,-220.872
-0.755,-0.162,0.178,1.274,-70.410,-245.330
-0.473,0.052,-0.119,-36.054,-144.990,-276.154
0.028,0.077,-0.145,-34.604,-182.975,-311.345
1.777,-0.011,-0.434,-47.230,-164.486,-279.253

2.000,0.301,-0.691,-63.657,-79.234,-262.322
2.000,0.014,-0.383,-2.451,7.499,-149.268
1.857,-0.240,-0.034,-17.703,-13.249,-94.307
1.628,-0.258,-0.168,4.465,20.415,-11.849
1.154,-0.092,-0.027,2.404,4.537,-63.055
0.866,-0.062,-0.086,2.618,-4.853,-30.490
0.864,0.124,-0.150,-5.138,7.957,-23.238
0.965,-0.099,-0.036,9.259,-5.875,-5.330
1.037,-0.040,-0.136,-3.749,-11.127,-9.360
1.147,-0.042,-0.145,5.518,6.277,2.090
1.071,0.003,-0.074,7.656,5.728,-1.238
1.011,0.037,-0.091,-2.069,2.262,-0.261
0.987,-0.021,-0.102,6.099,9.178,4.701
1.013,0.003,-0.065,-0.176,0.460,-4.856
1.101,-0.022,-0.100,-2.833,3.239,-20.826
1.038,0.005,-0.101,1.518,0.934,-7.192
1.052,0.050,-0.106,-2.085,-0.227,-2.780
1.023,0.029,-0.090,1.809,2.995,-1.757
1.024,0.025,-0.076,1.305,1.514,-2.230
1.044,0.029,-0.094,3.579,-3.280,1.128
1.053,0.035,-0.091,-2.237,2.827,-5.223
1.049,0.016,-0.101,2.190,-3.982,6.106
1.012,0.024,-0.100,-1.245,2.567,-3.299
1.040,0.049,-0.106,0.984,-0.837,-3.330
1.046,0.028,-0.097,2.557,3.147,-3.299
1.014,0.046,-0.101,0.068,-2.776,-1.772
1.040,0.043,-0.083,1.274,4.430,-1.894
1.046,0.040,-0.102,3.259,1.041,-2.795
1.026,0.018,-0.094,5.488,4.751,-7.681
1.019,0.038,-0.085,2.343,0.415,-4.734

0.610,1.548,-0.617,-182.207,-161.509,-481.986
0.641,1.687,-0.672,-186.024,-121.830,-447.421
0.660,2.000,-0.420,-70.894,-39.830,-228.856
0.438,2.000,0.099,15.335,-15.662,-68.856
0.361,2.000,-0.157,-14.390,-10.868,198.625
0.174,1.916,-0.109,33.228,-32.181,430.380
0.890,1.356,-0.501,96.587,-8.807,501.602
